Interpolated R,Interpolated T
3737.470044,0.132874108
3737.912348,0.13283718
3738.354653,0.132800275
3738.796958,0.132763392
3739.239263,0.132726533
3739.681567,0.132689695
3740.123872,0.132652881
3740.566177,0.132616089
3741.008482,0.13257932
3741.450786,0.132542574
3741.893091,0.13250585
3742.335396,0.132469149
3742.777701,0.13243247
3743.220006,0.132395814
3743.66231,0.132359181
3744.104615,0.13232257
3744.54692,0.132285982
3744.989225,0.132249416
3745.431529,0.132212874
3745.873834,0.132176353
3746.316139,0.132139856
3746.758444,0.13210338
3747.200749,0.132066928
3747.643053,0.132030498
3748.085358,0.13199409
3748.527663,0.131957706
3748.969968,0.131921343
3749.412272,0.131885003
3749.854577,0.131848686
3750.296882,0.131812391
3750.739187,0.131776119
3751.181491,0.131739869
3751.623796,0.131703642
3752.066101,0.131667437
3752.508406,0.131631255
3752.950711,0.131595095
3753.393015,0.131558957
3753.83532,0.131522842
3754.277625,0.131486749
3754.71993,0.131450679
3755.162234,0.131414631
3755.604539,0.131378606
3756.046844,0.131342602
3756.489149,0.131306622
3756.931453,0.131270663
3757.373758,0.131234727
3757.816063,0.131198813
3758.258368,0.131162921
3758.700673,0.131127052
3759.142977,0.131091205
3759.585282,0.13105538
3760.027587,0.131019577
3760.469892,0.130983797
3760.912196,0.130948039
3761.354501,0.130912303
3761.796806,0.13087659
3762.239111,0.130840898
3762.681415,0.130805229
3763.12372,0.130769581
3763.566025,0.130733956
3764.00833,0.130698354
3764.450635,0.130662773
3764.892939,0.130627214
3765.335244,0.130591678
3765.777549,0.130556163
3766.219854,0.130520671
3766.662158,0.1304852
3767.104463,0.130449752
3767.546768,0.130414326
3767.989073,0.130378922
3768.431377,0.13034354
3768.873682,0.130308179
3769.315987,0.130272841
3769.758292,0.130237525
3770.200597,0.130202231
3770.642901,0.130166958
3771.085206,0.130131708
3771.527511,0.13009648
3771.969816,0.130061273
3772.41212,0.130026089
3772.854425,0.129990926
3773.29673,0.129955785
3773.739035,0.129920666
3774.18134,0.129885569
3774.623644,0.129850494
3775.065949,0.12981544
3775.508254,0.129780409
3775.950559,0.129745399
3776.392863,0.129710411
3776.835168,0.129675445
3777.277473,0.1296405
3777.719778,0.129605577
3778.162082,0.129570677
3778.604387,0.129535797
3779.046692,0.12950094
3779.488997,0.129466104
3779.931302,0.12943129
3780.373606,0.129396498
3780.815911,0.129361727
3781.258216,0.129326978
3781.700521,0.12929225
3782.142825,0.129257545
3782.58513,0.129222861
3783.027435,0.129188198
3783.46974,0.129153557
3783.912044,0.129118938
3784.354349,0.12908434
3784.796654,0.129049764
3785.238959,0.129015209
3785.681264,0.128980676
3786.123568,0.128946165
3786.565873,0.128911675
3787.008178,0.128877206
3787.450483,0.128842759
3787.892787,0.128808333
3788.335092,0.128773929
